Time (ns),Native contact,Rg (nm),RMSD (nm)
49.3,5.27E-01,1.35461,0.6617611
49.4,5.04E-01,1.35881,0.7554564
49.5,4.89E-01,1.38311,0.7291385
49.6,4.61E-01,1.41765,0.8529044
49.7,4.53E-01,1.4131,0.9132844
49.8,4.69E-01,1.39102,0.7552212
49.9,4.74E-01,1.42357,0.8228238
50,4.93E-01,1.42657,0.7678756
50.1,5.27E-01,1.40819,0.740178
50.2,5.17E-01,1.47233,0.8774613
50.3,5.06E-01,1.45631,0.8754393
50.4,5.50E-01,1.41529,0.8478588
50.5,5.53E-01,1.45031,0.8658853
50.6,5.43E-01,1.43299,0.8349711
50.7,5.21E-01,1.42781,0.8276635
50.8,5.26E-01,1.46658,0.8754537
50.9,5.08E-01,1.43852,0.7937366
51,5.21E-01,1.45337,0.8424927
51.1,5.19E-01,1.417,0.8015093
51.2,5.44E-01,1.39043,0.8687879
51.3,5.38E-01,1.38584,0.757351
51.4,5.40E-01,1.40444,0.8075686
51.5,5.39E-01,1.44568,0.8844205
51.6,5.15E-01,1.44419,0.8231826
51.7,5.00E-01,1.41845,0.8593715
51.8,4.93E-01,1.44166,0.7782484
51.9,5.05E-01,1.44378,0.8135021
52,5.28E-01,1.45941,0.8203342
52.1,4.87E-01,1.41518,0.7631392
52.2,5.31E-01,1.42611,0.813705
52.3,5.08E-01,1.40526,0.8042373
52.4,4.72E-01,1.37889,0.8092617
52.5,4.93E-01,1.47122,0.8263208
52.6,5.04E-01,1.42393,0.7899061
52.7,4.92E-01,1.40448,0.6990087
52.8,5.24E-01,1.40913,0.735511
52.9,5.18E-01,1.41979,0.7529019
53,5.11E-01,1.40899,0.7136223
53.1,4.96E-01,1.41654,0.7419342
53.2,4.99E-01,1.42415,0.7020679
53.3,5.06E-01,1.3924,0.6894473
53.4,5.11E-01,1.42533,0.8225077
53.5,5.14E-01,1.41854,0.7830042
53.6,4.96E-01,1.4248,0.7425923
53.7,4.89E-01,1.42763,0.7604464
53.8,4.98E-01,1.41553,0.6138319
53.9,4.73E-01,1.41584,0.6291288
54,4.87E-01,1.38368,0.68571
54.1,5.04E-01,1.37716,0.7008297
54.2,5.06E-01,1.37016,0.7094336
54.3,5.48E-01,1.37096,0.723416
54.4,5.28E-01,1.32758,0.6821868
54.5,5.34E-01,1.35088,0.734856
54.6,5.34E-01,1.35505,0.6521987
54.7,5.41E-01,1.33967,0.6897284
54.8,5.28E-01,1.36685,0.6725702
54.9,5.41E-01,1.32845,0.6968274
55,5.72E-01,1.33466,0.7128997
55.1,5.66E-01,1.32395,0.6948947
55.2,5.48E-01,1.35093,0.7408285
55.3,5.34E-01,1.39992,0.7138187
55.4,5.45E-01,1.3809,0.7375215
55.5,5.11E-01,1.43811,0.7787625
55.6,5.31E-01,1.40454,0.6982348
55.7,4.92E-01,1.42963,0.7593448
55.8,4.98E-01,1.43301,0.7956675
55.9,4.96E-01,1.42618,0.7287825
56,5.51E-01,1.36287,0.7484974
56.1,5.49E-01,1.38384,0.7696515
56.2,5.27E-01,1.34687,0.6814666
56.3,5.47E-01,1.36385,0.7071832
56.4,5.16E-01,1.37856,0.7564231
56.5,5.06E-01,1.38042,0.7966311
56.6,5.02E-01,1.38646,0.7901869
56.7,4.87E-01,1.35096,0.721691
56.8,4.72E-01,1.34921,0.7402824
56.9,4.87E-01,1.37265,0.6983229
57,4.43E-01,1.36945,0.6815846
57.1,4.66E-01,1.34547,0.7585757
57.2,4.85E-01,1.37031,0.7983055
57.3,4.70E-01,1.39802,0.7510647
57.4,4.80E-01,1.39587,0.705152
57.5,5.02E-01,1.35015,0.6582485
57.6,5.10E-01,1.39059,0.7210501
57.7,5.05E-01,1.33052,0.7426593
57.8,5.25E-01,1.34413,0.7447281
57.9,5.08E-01,1.35777,0.8223142
58,4.90E-01,1.33703,0.8452525
58.1,4.82E-01,1.36534,0.8499901
58.2,4.80E-01,1.36105,0.9325201
58.3,4.85E-01,1.347,0.9411252
58.4,4.82E-01,1.43879,0.9046111
58.5,5.11E-01,1.38818,0.8672917
58.6,4.96E-01,1.39522,0.8519821
58.7,5.44E-01,1.37934,0.8831635
58.8,5.81E-01,1.40993,0.8653641
58.9,5.68E-01,1.41234,0.8316882
59,5.52E-01,1.40754,0.8457943
59.1,5.53E-01,1.3798,0.8106024
59.2,5.42E-01,1.36686,0.7799165
59.3,5.39E-01,1.37033,0.7742183
59.4,5.31E-01,1.37259,0.7888391
59.5,5.26E-01,1.38849,0.7865167
59.6,5.34E-01,1.38671,0.8117872
59.7,5.44E-01,1.40925,0.7041638
59.8,5.49E-01,1.41764,0.7329056
59.9,5.50E-01,1.38118,0.6877486
60,5.65E-01,1.34024,0.6520403
60.1,5.29E-01,1.33309,0.6386929
60.2,5.13E-01,1.36752,0.716444
60.3,5.44E-01,1.33833,0.6761633
60.4,5.42E-01,1.36279,0.6757987
60.5,5.22E-01,1.37787,0.7347579
60.6,5.43E-01,1.35652,0.6142704
60.7,5.08E-01,1.39743,0.7819006
60.8,5.41E-01,1.38802,0.7650876
60.9,5.32E-01,1.38246,0.8489063
61,5.31E-01,1.3877,0.7677522
61.1,5.13E-01,1.39245,0.7874984
61.2,5.13E-01,1.40828,0.8537796
61.3,5.08E-01,1.3954,0.7611614
61.4,5.20E-01,1.39457,0.8102992
61.5,5.08E-01,1.40454,0.8081797
61.6,4.93E-01,1.41367,0.8268409
61.7,5.08E-01,1.41922,0.8473618
61.8,4.88E-01,1.45844,0.8634316
61.9,5.01E-01,1.4248,0.925884
62,4.97E-01,1.42235,0.9151751
62.1,5.17E-01,1.4299,0.9473745
62.2,5.05E-01,1.39998,0.8521217
62.3,5.10E-01,1.40796,0.899147
62.4,5.08E-01,1.42611,0.7974543
62.5,5.04E-01,1.43857,0.8772442
62.6,5.31E-01,1.43824,0.8018054
62.7,5.40E-01,1.36473,0.6988534
