Time (ns),Native contact,Rg (nm),RMSD (nm)
54.7,4.39E-01,1.47305,0.6790225
54.8,4.81E-01,1.43142,0.6332482
54.9,4.82E-01,1.4365,0.6623913
55,4.89E-01,1.47572,0.6827343
55.1,4.59E-01,1.46932,0.6669053
55.2,4.71E-01,1.48919,0.7017894
55.3,4.74E-01,1.47741,0.6597663
55.4,5.01E-01,1.45544,0.6298105
55.5,4.86E-01,1.45819,0.5668305
55.6,4.98E-01,1.46704,0.5972293
55.7,4.91E-01,1.47249,0.5758436
55.8,4.71E-01,1.49734,0.6004539
55.9,4.63E-01,1.505,0.5985888
56,4.38E-01,1.47444,0.5708614
56.1,4.50E-01,1.47721,0.6221072
56.2,4.79E-01,1.45588,0.5611186
56.3,4.79E-01,1.43041,0.5960039
56.4,4.67E-01,1.48121,0.6241962
56.5,4.42E-01,1.46885,0.5885768
56.6,3.96E-01,1.47683,0.6597202
56.7,4.24E-01,1.46399,0.6536916
56.8,4.46E-01,1.44254,0.6529236
56.9,4.49E-01,1.42009,0.6715571
57,4.81E-01,1.42961,0.672029
57.1,5.00E-01,1.42822,0.6315723
57.2,4.56E-01,1.42149,0.6428832
57.3,5.02E-01,1.41374,0.6019849
57.4,4.74E-01,1.42542,0.6302284
57.5,4.98E-01,1.43632,0.612118
57.6,4.61E-01,1.48914,0.6417819
57.7,4.65E-01,1.47062,0.6713071
57.8,4.79E-01,1.4233,0.5868106
57.9,4.55E-01,1.4271,0.5921886
58,4.71E-01,1.43631,0.5888553
58.1,4.33E-01,1.44219,0.5841108
58.2,4.62E-01,1.41724,0.5299851
58.3,5.06E-01,1.39797,0.544314
58.4,4.86E-01,1.42272,0.5511042
58.5,5.01E-01,1.4127,0.5133706
58.6,5.00E-01,1.42649,0.5560496
58.7,4.83E-01,1.43195,0.5376852
58.8,4.65E-01,1.42144,0.5209193
58.9,4.69E-01,1.41742,0.5187668
59,4.66E-01,1.44685,0.5032933
59.1,4.41E-01,1.45174,0.5419081
59.2,4.26E-01,1.48179,0.597102
59.3,4.43E-01,1.47731,0.5838069
59.4,4.27E-01,1.46131,0.5870029
59.5,4.46E-01,1.44675,0.5834991
59.6,4.73E-01,1.42823,0.5757736
59.7,4.62E-01,1.46566,0.5607178
59.8,4.67E-01,1.48698,0.5920298
59.9,4.09E-01,1.51708,0.6140422
60,4.36E-01,1.45793,0.6327006
60.1,4.21E-01,1.45975,0.6509538
60.2,4.32E-01,1.45904,0.6816116
60.3,4.40E-01,1.46283,0.6966242
60.4,4.47E-01,1.477,0.7298574
60.5,4.52E-01,1.45918,0.6837344
60.6,4.44E-01,1.46572,0.5786263
60.7,4.67E-01,1.50173,0.6491627
60.8,4.89E-01,1.52453,0.6880354
60.9,4.81E-01,1.51178,0.6650054
61,4.62E-01,1.48664,0.676731
61.1,4.69E-01,1.47032,0.6587052
61.2,4.74E-01,1.47769,0.6691788
61.3,4.65E-01,1.4747,0.7311032
61.4,4.81E-01,1.38772,0.6037853
61.5,4.83E-01,1.4167,0.5890049
61.6,4.42E-01,1.40661,0.6265424
61.7,4.63E-01,1.40047,0.6096955
61.8,4.92E-01,1.38859,0.587922
61.9,4.65E-01,1.43501,0.598093
62,4.95E-01,1.40997,0.5940314
62.1,4.87E-01,1.4595,0.6099609
62.2,5.05E-01,1.45617,0.6482695
62.3,5.10E-01,1.46575,0.6718774
62.4,5.11E-01,1.48802,0.6792809
62.5,5.18E-01,1.52299,0.7093505
62.6,4.92E-01,1.46388,0.6897669
62.7,4.96E-01,1.4366,0.6168948
62.8,5.00E-01,1.46188,0.6599535
62.9,5.08E-01,1.45645,0.6248156
63,4.98E-01,1.47242,0.6410363
63.1,4.79E-01,1.46035,0.6594616
63.2,5.00E-01,1.44613,0.6466389
63.3,4.78E-01,1.46941,0.6520994
63.4,4.89E-01,1.46255,0.6944804
63.5,4.88E-01,1.4773,0.7194287
63.6,4.92E-01,1.43311,0.6846209
63.7,4.93E-01,1.43316,0.6610062
